Index,Timestamp,X,Y,Direction,s/e
23,2021-03-30T16:51:47.105,8,10,W,start
24,2021-03-30T16:52:15.467,8,10,W,end
25,2021-03-30T16:52:24.222,8,12,N,start
26,2021-03-30T16:52:52.483,8,12,N,end
27,2021-03-30T16:52:55.285,8,12,E,start
28,2021-03-30T16:53:22.973,8,12,E,end
29,2021-03-30T16:53:25.024,8,12,S,start
30,2021-03-30T16:53:52.812,8,12,S,end
31,2021-03-30T16:53:55.348,8,12,W,start
32,2021-03-30T16:54:23.727,8,12,W,end
1,2021-03-30T16:28:23.814,10,2,N,start
2,2021-03-30T16:28:52.644,10,2,N,end
3,2021-03-30T16:29:00.966,10,2,E,start
4,2021-03-30T16:29:29.235,10,2,E,end
5,2021-03-30T16:29:32.722,10,2,S,start
6,2021-03-30T16:30:01.432,10,2,S,end
7,2021-03-30T16:30:04.861,10,2,W,start
8,2021-03-30T16:30:35.048,10,2,W,end
9,2021-03-30T16:30:46.023,10,4,N,start
10,2021-03-30T16:31:14.425,10,4,N,end
11,2021-03-30T16:31:20.047,10,4,E,start
12,2021-03-30T16:31:48.568,10,4,E,end
13,2021-03-30T16:32:44.093,10,4,S,start
14,2021-03-30T16:33:12.613,10,4,S,end
15,2021-03-30T16:33:15.867,10,4,W,start
16,2021-03-30T16:33:44.269,10,4,W,end
1,2021-03-30T16:36:26.064,10,6,N,start
2,2021-03-30T16:36:54.673,10,6,N,end
3,2021-03-30T16:36:59.278,10,6,E,start
4,2021-03-30T16:37:28.224,10,6,E,end
5,2021-03-30T16:37:31.317,10,6,S,start
6,2021-03-30T16:37:59.747,10,6,S,end
7,2021-03-30T16:38:03.084,10,6,W,start
8,2021-03-30T16:38:31.711,10,6,W,end
9,2021-03-30T16:38:35.607,10,8,N,start
10,2021-03-30T16:39:03.866,10,8,N,end
11,2021-03-30T16:39:07.338,10,8,E,start
12,2021-03-30T16:39:35.766,10,8,E,end
13,2021-03-30T16:39:45.164,10,8,S,start
14,2021-03-30T16:40:13.709,10,8,S,end
15,2021-03-30T16:40:16.911,10,8,W,start
16,2021-03-30T16:40:45.495,10,8,W,end
17,2021-03-30T16:40:48.942,10,10,N,start
18,2021-03-30T16:41:17.688,10,10,N,end
19,2021-03-30T16:41:20.455,10,10,E,start
20,2021-03-30T16:41:49.425,10,10,E,end
21,2021-03-30T16:41:52.437,10,10,S,start
22,2021-03-30T16:42:20.839,10,10,S,end
23,2021-03-30T16:42:24.060,10,10,W,start
24,2021-03-30T16:42:52.019,10,10,W,end
25,2021-03-30T16:42:55.725,10,12,N,start
26,2021-03-30T16:43:24.094,10,12,N,end
27,2021-03-30T16:43:26.656,10,12,E,start
28,2021-03-30T16:43:55.400,10,12,E,end
29,2021-03-30T16:43:57.987,10,12,S,start
30,2021-03-30T16:44:26.565,10,12,S,end
31,2021-03-30T16:44:29.360,10,12,W,start
32,2021-03-30T16:44:58.745,10,12,W,end
1,2021-03-30T16:08:35.524,12,2,N,start
2,2021-03-30T16:09:04.146,12,2,N,end
3,2021-03-30T16:09:13.099,12,2,E,start
4,2021-03-30T16:09:42.413,12,2,E,end
5,2021-03-30T16:09:45.765,12,2,S,start
6,2021-03-30T16:10:14.016,12,2,S,end
7,2021-03-30T16:10:16.712,12,2,W,start
8,2021-03-30T16:10:44.832,12,2,W,end
9,2021-03-30T16:10:49.729,12,4,N,start
10,2021-03-30T16:11:18.248,12,4,N,end
11,2021-03-30T16:11:21.394,12,4,E,start
12,2021-03-30T16:11:49.487,12,4,E,end
13,2021-03-30T16:11:52.659,12,4,S,start
14,2021-03-30T16:12:20.971,12,4,S,end
15,2021-03-30T16:12:24.398,12,4,W,start
16,2021-03-30T16:12:52.808,12,4,W,end
17,2021-03-30T16:12:59.146,12,6,N,start
18,2021-03-30T16:13:28.016,12,6,N,end
19,2021-03-30T16:13:32.087,12,6,E,start
20,2021-03-30T16:14:00.515,12,6,E,end
21,2021-03-30T16:14:04.401,12,6,S,start
22,2021-03-30T16:14:32.697,12,6,S,end
23,2021-03-30T16:14:37.918,12,6,W,start
24,2021-03-30T16:15:05.737,12,6,W,end
25,2021-03-30T16:15:12.392,12,8,N,start
26,2021-03-30T16:15:40.755,12,8,N,end
27,2021-03-30T16:15:43.673,12,8,E,start
28,2021-03-30T16:16:11.585,12,8,E,end
29,2021-03-30T16:16:14.395,12,8,S,start
30,2021-03-30T16:16:42.733,12,8,S,end
31,2021-03-30T16:16:45.843,12,8,W,start
32,2021-03-30T16:17:14.457,12,8,W,end
33,2021-03-30T16:17:20.592,12,10,N,start
34,2021-03-30T16:17:49.081,12,10,N,end
35,2021-03-30T16:17:53.266,12,10,E,start
36,2021-03-30T16:18:21.553,12,10,E,end
37,2021-03-30T16:18:24.556,12,10,S,start
38,2021-03-30T16:18:53.709,12,10,S,end
39,2021-03-30T16:18:56.153,12,10,W,start
40,2021-03-30T16:19:24.334,12,10,W,end
41,2021-03-30T16:19:28.019,12,12,N,start
42,2021-03-30T16:19:56.515,12,12,N,end
43,2021-03-30T16:19:59.749,12,12,E,start
44,2021-03-30T16:20:28.772,12,12,E,end
45,2021-03-30T16:20:31.656,12,12,S,start
46,2021-03-30T16:21:00.227,12,12,S,end
47,2021-03-30T16:21:02.804,12,12,W,start
48,2021-03-30T16:21:31.667,12,12,W,end
